时间,文件名,模型名,输入Token(非缓存),缓存命中Token,输出Token,总Token,预估美元(USD),预估日元(JPY),预估人民币(CNY),
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2026/5/13 16:22,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第1页,OCR,gemini-3-flash-preview,1360,0,699,2059,0.002777,0.44079365,0.01903254
2026/5/13 16:23,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第2页,OCR,gemini-3-flash-preview,1360,0,2428,3788,0.007964,1.26412698,0.05458234
2026/5/13 16:23,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第3页,OCR,gemini-3-flash-preview,1360,0,2001,3361,0.006683,1.06079365,0.04580283
2026/5/13 16:24,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第4页,OCR,gemini-3-flash-preview,1360,0,2779,4139,0.009017,1.43126984,0.06179922
2026/5/13 16:55,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第5页,OCR,gemini-3-flash-preview,1360,0,1135,2495,0.004085,0.6484127,0.02799709
2026/5/13 16:55,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第6页,OCR,gemini-3-flash-preview,1360,0,931,2291,0.003473,0.55126984,0.02380267
2026/5/13 16:56,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第1页,分析,gemini-3-flash-preview,757,0,1085,1842,0.0036335,0.57674603,0.02490268
2026/5/13 16:56,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第2页,分析,gemini-3-flash-preview,994,0,1880,2874,0.006137,0.97412698,0.04206075
2026/5/13 16:56,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第3页,分析,gemini-3-flash-preview,1295,0,1846,3141,0.0061855,0.9818254,0.04239315
2026/5/13 16:57,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第4页,分析,gemini-3-flash-preview,1414,0,2444,3858,0.008039,1.27603175,0.05509636
2026/5/13 16:57,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第5页,分析,gemini-3-flash-preview,784,0,2180,2964,0.006932,1.10031746,0.04750939
2026/5/13 16:57,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第6页,分析,gemini-3-flash-preview,762,0,1245,2007,0.004116,0.65333333,0.02820956
2026/5/13 16:58,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第1页,翻译,gemini-3-flash-preview,1578,0,1004,2582,0.003801,0.60333333,0.02605066
2026/5/13 16:58,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第2页,翻译,gemini-3-flash-preview,2020,0,2534,4554,0.008612,1.36698413,0.05902349
2026/5/13 16:58,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第3页,翻译,gemini-3-flash-preview,2327,0,2226,4553,0.0078415,1.24468254,0.05374277
2026/5/13 16:58,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第4页,翻译,gemini-3-flash-preview,2570,0,2165,4735,0.00778,1.23492063,0.05332127
2026/5/13 16:58,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第5页,翻译,gemini-3-flash-preview,1731,0,1327,3058,0.0048465,0.76928571,0.03321614
2026/5/13 16:59,太政官・内閣関係：「北京ニ於ケル主要思想団体」、JACAR Ref. A03023733600（第（）—（）画像目）、『各種情報資料・参情報』（国立公文書館）.pdf_第6页,翻译,gemini-3-flash-preview,1513,0,881,2394,0.0033995,0.53960317,0.02329893
,,,,,,,,求和,16.71785712,0.72184184
